question,answer
How can I track my order?,Go to My Orders and click Track Order to view delivery status.
Where is my package?,You can track your package from the My Orders section.
How do I see delivery status?,Open My Orders and select Track Order.
How can i order?,Open website and search your product and then you can add it to the cart.
where can i check my previous order history?,Go to your profile and click on my orders.
Track my shipment,You can track your shipment in the My Orders page.
Can I cancel my order?,Yes you can cancel orders before they are shipped.
How do I cancel my order?,Go to My Orders and click Cancel Order.
Can I modify my order?,Orders can be modified before shipment.
Can I change delivery address?,Delivery address can be changed before shipping.
Why is my order delayed?,Delays may happen due to weather or logistics issues.
How long does delivery take?,Delivery usually takes 3 to 7 business days.
Do you offer same day delivery?,Same day delivery is available in selected cities.
Can I schedule delivery?,Scheduled delivery is available for eligible products.
What is your refund policy?,Refunds are processed after successful return verification.
How do I get a refund?,Refunds are initiated once returned products are approved.
When will I receive my refund?,Refunds usually take 5 business days.
Why is my refund pending?,Bank processing delays may cause refund delays.
Can I return a product?,Yes products can be returned within the return period.
How do I return an item?,Go to My Orders and select Return Product.
What is the return period?,Most products can be returned within 7 days.
Can I exchange products?,Exchange is available for eligible items.
when i am going to receive my order?,You will receive it soon..if u want i can track your order if u tell me the more details about it.
My return request was rejected,Return requests may be rejected if conditions are not met.
Do you offer free returns?,Free returns are available for selected products.
Can I pay using UPI?,Yes UPI payments are supported.
Do you accept debit cards?,Yes debit and credit cards are accepted.
Is cash on delivery available?,Cash on Delivery is available in selected locations.
Can I pay with net banking?,Yes net banking payments are accepted.
Is EMI available?,EMI options are available for eligible products.
My payment failed,Please retry or use another payment method.
Why was money deducted but order not confirmed?,Refunds are automatically processed for failed transactions.
How do I download invoice?,Invoices can be downloaded from My Orders.
Can I get GST invoice?,GST invoices are available for eligible purchases.
How do I reset my password?,Use the Forgot Password option on the login page.
I forgot my password,Click Forgot Password to reset your password.
Can I change my email address?,Email address can be updated in account settings.
How do I delete my account?,Please contact customer support for account deletion.
How do I contact customer support?,You can contact support through Help Center.
Do you have customer care number?,Customer care details are available in the Help section.
How do I apply coupon code?,Enter the coupon code during checkout.
Why is my coupon not working?,Coupon may have expired or conditions may not be met.
Can I use multiple coupons?,Only one coupon can be applied per order.
Do you offer student discounts?,Student discounts are available during selected offers.
What are premium membership benefits?,Premium members get faster delivery and exclusive offers.
How do I join premium membership?,You can activate membership from profile settings.
Can I cancel premium membership?,Membership can be cancelled anytime from settings.
Do you sell original products?,All products sold are verified and genuine.
Are products covered under warranty?,Warranty depends on the product and brand.
Can I reorder previous purchases?,Yes previous orders can be reordered from order history.
Do you provide gift wrapping?,Gift wrapping is available for selected products.
Can I save items for later?,Yes items can be moved to Save for Later.
Why is a product out of stock?,Out of stock items may become available after restocking.
Can I preorder products?,Preorder option is available for selected items.
How do I write a product review?,Reviews can be submitted from completed orders.
Can I edit my review?,Reviews can be edited within a limited period.
Why was my account blocked?,Accounts may be blocked for security reasons.
How do I update phone number?,Phone number can be updated in account settings.
Is my payment information secure?,All payments are processed through secure encrypted systems.
Do you ship internationally?,International shipping is available for selected countries.
Can I check delivery availability?,Enter your PIN code to check delivery availability.

